index,id,nome,lat,lng,estado,regiao
5197,301851,Sebastião Leal,-7.56823074623723,-44.0636284984622,PI,Região Nordeste
5198,305681,Seberi,-27.483329721884104,-53.4030910196766,RS,Região Sul
5199,305425,Sede Nova,-27.637206172125396,-53.94975099935429,RS,Região Sul
5200,305405,Segredo,-29.3528101438328,-52.977135442506,RS,Região Sul
5201,305393,Selbach,-28.629907123000102,-52.950227068485795,RS,Região Sul
5202,304452,Selvíria,-20.364190882025103,-51.4196668156781,MS,Região Centro-Oeste
5203,302739,Sem-Peixe,-20.1013208975146,-42.8486950626955,,
5204,305858,Sena Madureira,-9.06389425627336,-68.6717576515988,AC,Região Norte
5205,302442,Senador Alexandre Costa,-5.260047179429099,-44.055287310674295,MA,Região Nordeste
5206,303545,Senador Amaral,-22.5873744384274,-46.1767221827966,MG,Região Sudeste
5207,302408,Senador Canedo,-16.7088518237363,-49.0917957838407,GO,Região Centro-Oeste
5208,304411,Senador Cortes,-21.7990443254844,-42.9427434463123,MG,Região Sudeste
5209,300509,Senador Elói de Souza,-6.0359658047739995,-35.6927656358232,RN,Região Nordeste
5210,302840,Senador Firmino,-20.9162407615343,-43.0907982980458,MG,Região Sudeste
5211,302316,Senador Georgino Avelino,-6.16380427358534,-35.125450357685104,RN,Região Nordeste
5212,305857,Senador Guiomard,-10.150084894023198,-67.73666289302861,AC,Região Norte
5213,303531,Senador José Bento,-22.163803073691696,-46.1796180145681,MG,Região Sudeste
5214,304144,Senador José Porfírio,-2.58636558001015,-51.9490990769561,PA,Região Norte
5215,301966,Senador La Rocque,-5.44649988059659,-47.296312856765795,,
5216,302709,Senador Modestino Gonçalves,-17.9469947974635,-43.2249607057823,MG,Região Sudeste
5217,300922,Senador Pompeu,-5.58285128051371,-39.3706883637143,CE,Região Nordeste
5218,301219,Senador Rui Palmeira,-9.47029711053538,-37.457914455605604,AL,Região Nordeste
5219,301328,Senador Sá,-3.3534427991943403,-40.466526034650705,,
5220,305723,Senador Salgado Filho,-28.0254727590553,-54.5511832842072,RS,Região Sul
5221,304208,Sengés,-24.113357324078102,-49.461987705683796,PR,Região Sul
5222,301431,Senhor do Bonfim,-10.459789122110198,-40.1868609770918,BA,Região Nordeste
5223,302845,Senhora de Oliveira,-20.7976987848835,-43.33980077296,MG,Região Sudeste
5224,302761,Senhora do Porto,-18.8913649382495,-43.0802375811551,MG,Região Sudeste
5225,303115,Senhora dos Remédios,-21.035558139078102,-43.5815840626534,,
5226,305519,Sentinela do Sul,-30.611186860279798,-51.586613284064995,RS,Região Sul
5227,301438,Sento Sé,-9.74180749654601,-41.8789029968703,,
5228,305208,Serafina Corrêa,-28.713096676382197,-51.9357029911736,RS,Região Sul
5229,302747,Sericita,-20.4753183769434,-42.4831379166283,MG,Região Sudeste
5230,304327,Seringueiras,-11.769890378366801,-63.0337022003007,RO,Região Norte
5231,305792,Sério,-29.382980961488105,-52.26894083252051,RS,Região Sul
