id_cidade,nome,nomeabrev,LATITUDE,LONGITUDE
304338,Rio Verde,Rio Verde,-17.7927169564351,-50.9196063654439
305592,Rio Verde de Mato Grosso,Rio Verde de Mato Grosso,-18.9178662558773,-54.8445987342125
302711,Rio Vermelho,Rio Vermelho,-18.293994147584,-43.0089627116812
314489,Rioja,Rioja,-6.05472858557446,-77.1404459660589
303419,Riolândia,Riolândia,-19.9777274159115,-49.6811079321714
305655,Riozinho,Riozinho,-29.6394682483027,-50.4492282986497
305319,Riqueza,Riqueza,-27.0657932440907,-53.3269068481997
304994,Ritápolis,Ritápolis,-21.0280404874938,-44.3208112233405
314298,Rivera,Rivera,-30.9106798355021,-55.5361956968647
304206,Riversul,Riversul,-23.8294756655426,-49.4293835760457
314316,Robore,Robore,-18.3347664802199,-59.7499230498494
305203,Roca Sales,Roca Sales,-29.2894326757089,-51.8708224064902
305595,Rochedo,Rochedo,-19.9534649813956,-54.8904346586301
303099,Rochedo de Minas,Rochedo de Minas,-21.6288785443539,-43.0169155432866
304213,Rodeio,Rodeio,-26.924829391739,-49.3653389579565
305382,Rodeio Bonito,Rodeio Bonito,-27.4746724675264,-53.1710385547787
303261,Rodeiro,Rodeiro,-21.2039473316336,-42.858988353143
301280,Rodelas,Rodelas,-8.85064161656633,-38.7803073732114
300762,Rodolfo Fernandes,Rodolfo Fernandes,-5.78433825394854,-38.0581961469456
305851,Rodrigues Alves,Rodrigues Alves,-7.73417472433491,-72.6505331522821
300944,Rolador,Rolador,-28.2570192473992,-54.8191091752073
304740,Rolândia,Rolândia,-23.310586040674,-51.3663571977928
305657,Rolante,Rolante,-29.6509970647304,-50.5760664915064
304288,Rolim de Moura,Rolim de Moura,-11.7274829213389,-61.7718673567975
303693,Romaria,Romaria,-18.8844685544096,-47.5839997932143
305304,Romelândia,Romelândia,-26.6813555818395,-53.3176462559385
304837,Roncador,Roncador,-24.5962615374226,-52.2720080953662
305372,Ronda Alta,Ronda Alta,-27.7762701866388,-52.8060415355754
305376,Rondinha,Rondinha,-27.8319219446673,-52.9085624068127
300380,Rondolândia,Rondolândia,-10.8379657134382,-61.4701902341263
304872,Rondon,Rondon,-23.4124204093302,-52.7663150906381
301964,Rondon do Pará,Rondon do Pará,-4.77832483919106,-48.06734221633
304645,Rondonópolis,Rondonópolis,-16.4676899703432,-54.637602894445
305798,Roque Gonzales,Roque Gonzales,-28.1301452903004,-55.0270785841111
305885,Rorainópolis,Rorainópolis,0.939589384060306,-60.4393640151603
304852,Rosana,Rosana,-22.5799913714359,-53.0591074665324
301681,Rosário,Rosário,-2.9385362389047,-44.2474850776672
314281,Rosário,Rosário,-24.4294706658698,-57.1158626505966
304928,Rosário da Limeira,Rosário da Limeira,-20.9817072474736,-42.5115593257162
301235,Rosário do Catete,Rosário do Catete,-10.6961598484408,-37.0324928453721
304752,Rosário do Ivaí,Rosário do Ivaí,-24.2687086557576,-51.2724387679043
305822,Rosário do Sul,Rosário do Sul,-30.2579810004586,-54.9139362038973
304648,Rosário Oeste,Rosário Oeste,-14.826368386837,-56.424006062995
303460,Roseira,Roseira,-22.8943145448197,-45.3073810731192
301151,Roteiro,Roteiro,-9.8354645724589,-35.9785448929597
302148,Rubelita,Rubelita,-16.4057318850945,-42.2613939424654
304461,Rubiácea,Rubiácea,-21.301030287965,-50.729983181733
304879,Rubiataba,Rubiataba,-15.1637171234895,-49.8013671372167
301615,Rubim,Rubim,-16.3779585893215,-40.5400536833125
304385,Rubinéia,Rubinéia,-20.1763643119589,-51.0074517983478
304165,Rurópolis,Rurópolis,-4.10066977590005,-54.9095818635436
300734,Russas,Russas,-4.92713085217552,-37.9723951005082
300513,Ruy Barbosa,Ruy Barbosa,-5.88130292040153,-35.9352685151861
301489,Ruy Barbosa,Ruy Barbosa,-12.2820565127286,-40.4934342431964
302826,Sabará,Sabará,-19.8845183205578,-43.8266800194882
304757,Sabáudia,Sabáudia,-23.315977535778,-51.5554353861441
303860,Sabino,Sabino,-21.4598056118795,-49.5759583878898
302716,Sabinópolis,Sabinópolis,-18.6657960365311,-43.0756050666248
301010,Saboeiro,Saboeiro,-6.5350077812612,-39.9020536580102
303329,Sacramento,Sacramento,-19.8700107579673,-47.4435575583292
305675,Sagrada Família,Sagrada Família,-27.7090079866118,-53.1355093044279
304484,Sagres,Sagres,-21.8827833466729,-50.9598032867158
314427,Saint-Georges,Saint-Georges,3.9050865478338,-51.8097348058557
300583,Sairé,Sairé,-8.32906465891423,-35.6970315644861
314294,Saladas,Saladas,-28.2501328192676,-58.6237645921774
305542,Saldanha Marinho,Saldanha Marinho,-28.3945522488192,-53.0974649705036
303855,Sales,Sales,-21.3412737368778,-49.4972765827381
305757,Sales Oliveira,Sales Oliveira,-20.7700796235504,-47.8372723059445
303292,Salesópolis,Salesópolis,-23.529286201008,-45.8469236562556
304614,Salete,Salete,-26.9802585749341,-49.9992443630896
300770,Salgadinho,Salgadinho,-7.10273810708107,-36.8450081610625
301350,Salgadinho,Salgadinho,-7.93778611360585,-35.6320516941811
301259,Salgado,Salgado,-11.0267892333434,-37.4762513992328
