id,username,city,state,region,geo
2985,@badgalmemel,Montes Claros,MG,Região Sudeste,"-16.7286375488089,-43.85817259141361"
2986,@ingridaisha,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2987,@s_lucchese,São Leopoldo,RS,Região Sul,"-29.7549740600538,-51.15022546560039"
2988,@SouzaRiquelmem,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2989,@magecampos_,Brasília,DF,Região Centro-Oeste,"-15.780420857709,-47.930434270556"
2990,@anadomingves,Curitiba,PR,Região Sul,"-25.420501362396998,-49.2654676568489"
2991,@Leticia_C41,Porto Velho,RO,Região Norte,"-8.76157307062849,-63.9008244409344"
2992,@Jefffarias_,Abaetetuba,PA,Região Norte,"-1.7222086903184095,-48.879222993594205"
2993,@giovannibc,Santarém,PA,Região Norte,"-6.48403336937383,-38.4767065476871"
2994,@arauujomileena,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2995,@f_rancisjunior,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2996,@willymedeiross,Garanhuns,PE,Região Nordeste,"-8.88286342295823,-36.4968679128978"
2997,@sabrinaChochuk,Capelinha,MG,Região Sudeste,"-17.6892590300744,-42.515061138529504"
2998,@henrySva,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2999,@sousagitariana,Maceió,AL,Região Nordeste,"-9.666854605479,-35.7355523147179"
3000,@saulodecris,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
3001,@pos_lagarta,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
3002,@_pedrodelavald,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
3003,@bfrjuniorz,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3004,@stepholandaa,Brasília,DF,Região Centro-Oeste,"-15.780420857709,-47.930434270556"
3005,@gabrielbessii,Matão,SP,Região Sudeste,"-21.602980013765002,-48.364372997062794"
3006,@vinikm,Joinville,SC,Região Sul,"-26.304977519187002,-48.849098216220796"
3007,@eusuellen021,Guadalupe,PI,Região Nordeste,"-6.7832597366134,-43.559789766207714"
3008,@washingtontores,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
3009,@giu_gabrielly,Curitiba,PR,Região Sul,"-25.420501362396998,-49.2654676568489"
3010,@manu_schorchit,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3011,@meneoliv,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3012,@lucadisena,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3013,@estrelixana,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3014,@Pedro2we,Tocantins,MG,Região Sudeste,"-21.1778909007092,-43.01306938722429"
3015,@najuuchiha,Campos dos Goytacazes,RJ,Região Sudetes,"-21.762656753133893,-41.3184115835903"
3016,@amandanriib,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
3017,@flloading,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
3018,@maressaurso,São José dos Campos,SP,Região Sudeste,"-23.190034056806397,-45.8845079154405"
3019,@lutelles,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3020,@nubiamonteiro1,Gravataí,RS,Região Sul,"-29.9361751225846,-51.0166602117503"
3021,@donapeitanca,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3022,@leticia_camily1,Paranaguá,PR,Região Sul,"-25.5165575464854,-48.5229462382874"
3023,@Leonina23,Balneário Camboriú,SC,Região Sul,"-26.9930767528523,-48.635576321370706"
3024,@Liansey,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3025,@ls_calopsita,Maceió,AL,Região Nordeste,"-9.666854605479,-35.7355523147179"
3026,@gabrielcosta096,Nova Lima,MG,Região Sudeste,"-19.9762366175752,-43.851224404154394"
3027,@moyraaf,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
3028,@dell_andrade,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
3029,@norcianna,Anápolis,GO,Região Centro-Oeste,"-16.3285446693033,-48.953354144138785"
3030,@GabrielAraujo7o,Rio Branco,AC,Região Norte,"-15.2470683790461,-58.12674402235911"
3031,@leturquetto_,São Bernardo do Campo,SP,Região Sudeste,"-23.691891859172202,-46.565016078214995"
